4 150 2000
0.383053 0.625089 0.629191 0.352610
0.495801 0.753616 0.605301 0.237645
0.528216 0.858517 0.551833 0.154516
0.562041 0.927506 0.497227 0.146557
0.545128 0.950187 0.405079 0.152747
0.504257 0.890649 0.324308 0.143904
0.490164 0.813155 0.289042 0.115605
0.481708 0.758342 0.210546 0.113836
0.515532 0.725265 0.157078 0.071387
0.557813 0.668562 0.100197 0.033361
0.607140 0.664782 0.086545 -0.039156
0.611368 0.696913 0.107022 -0.076298
0.615596 0.686518 0.146839 -0.044462
0.590228 0.662891 0.183243 -0.021469
0.571906 0.687463 0.176417 -0.071877
0.553585 0.764957 0.120674 -0.109904
0.509895 0.849067 0.069481 -0.119631
0.521169 0.925616 0.028526 -0.149699
0.521169 0.964363 0.005774 -0.162964
0.491573 0.926561 0.050141 -0.133781
0.483117 0.893484 0.167316 -0.040925
0.495801 0.899154 0.322033 0.059007
0.511304 0.923726 0.448309 0.108530
0.487345 0.932231 0.531356 0.144788
0.471842 0.922781 0.558658 0.166897
0.492982 0.888759 0.486988 0.128870
0.542310 0.841506 0.393703 0.095265
0.660695 0.837726 0.327721 0.079347
0.850958 0.854737 0.287904 0.086421
1.017261 0.922781 0.219647 0.119142
1.134237 0.987044 0.215097 0.146557
1.135647 1.032407 0.253776 0.152747
1.103231 1.036187 0.241262 0.149210
1.097594 1.069264 0.212821 0.106761
1.114506 1.147703 0.242399 0.078462
1.104641 1.261109 0.335685 0.072272
1.121553 1.332933 0.436933 0.066081
1.051085 1.391526 0.529080 0.066081
0.943975 1.401922 0.575723 0.075809
0.842502 1.366955 0.530218 0.100571
0.772034 1.281900 0.490401 0.115605
0.795993 1.205351 0.497227 0.117373
0.881963 1.179835 0.526805 0.122680
1.013033 1.191175 0.537044 0.037782
1.141284 1.153373 0.525667 -0.025006
1.242757 1.039967 0.484713 -0.060380
1.251213 0.972868 0.427832 -0.047115
1.187793 0.992714 0.423281 0.030707
1.159605 1.088165 0.443759 0.164244
1.170880 1.297021 0.525667 0.356147
1.230073 1.490757 0.603026 0.518867
1.307587 1.602273 0.657632 0.589615
1.335774 1.645745 0.662182 0.594921
1.331546 1.629679 0.701999 0.588730
1.197658 1.583372 0.796422 0.571928
1.020080 1.503042 0.932936 0.555125
0.898876 1.348999 1.019396 0.540091
0.769215 1.195901 1.089928 0.494989
0.677607 1.138252 1.102442 0.405670
0.646602 1.185505 1.060350 0.323426
0.786127 1.313087 0.957964 0.273018
1.031355 1.502097 0.865817 0.283631
1.296313 1.637240 0.835101 0.393290
1.479528 1.728910 0.848752 0.511792
1.485166 1.782778 0.803247 0.619682
1.441476 1.765767 0.666733 0.678934
1.287856 1.668426 0.585961 0.671859
1.067998 1.520053 0.609851 0.632947
0.784718 1.411372 0.724751 0.628526
0.691701 1.373570 0.976166 0.655941
0.805858 1.404757 1.209378 0.716960
1.021489 1.452010 1.343618 0.816007
1.311815 1.479416 1.395949 0.885871
1.499259 1.508713 1.376609 0.901789
1.588048 1.555020 1.320865 0.822198
1.549996 1.603218 1.224168 0.645328
1.369599 1.631569 1.038735 0.495874
1.158196 1.622119 0.854440 0.403902
0.891829 1.572976 0.785045 0.371181
0.655058 1.514383 0.841926 0.376487
0.449293 1.436889 0.995506 0.457847
0.267486 1.355614 1.223030 0.646213
0.220978 1.290406 1.385710 0.852265
0.268896 1.240318 1.496059 1.032672
0.438018 1.223307 1.560904 1.123760
0.693110 1.226142 1.540427 1.098114
0.912969 1.202516 1.423252 0.953965
1.058132 1.172274 1.244645 0.798320
1.072226 1.178890 1.113818 0.613492
0.994711 1.245043 1.068313 0.510908
0.795993 1.324428 1.105855 0.553356
0.564859 1.412317 1.162736 0.782402
0.345001 1.413262 1.195727 1.084849
0.191381 1.329153 1.230993 1.342193
0.187153 1.201571 1.286737 1.475730
0.259030 1.073044 1.344756 1.448315
0.343591 0.935066 1.378884 1.297092
0.428152 0.825440 1.367508 1.073352
0.474661 0.741331 1.308352 0.872605
0.501439 0.730935 1.237819 0.698389
0.474661 0.833946 1.144534 0.538322
0.440836 0.945462 1.046699 0.438391
0.377416 1.014451 0.968203 0.395943
0.287217 1.026736 0.907909 0.391521
0.226615 1.025791 0.887431 0.449888
0.195609 0.960583 0.890844 0.579002
0.246346 0.901044 0.862404 0.725804
0.291445 0.831111 0.826000 0.846075
0.352047 0.768737 0.833963 0.894714
0.361913 0.726210 0.913597 0.836347
0.329498 0.740386 1.009157 0.693083
0.333726 0.815045 1.114956 0.537438
0.350638 0.901989 1.116093 0.391521
0.383053 0.949242 1.014845 0.314583
0.408421 0.942627 0.861266 0.313698
0.407012 0.854737 0.706549 0.347304
0.383053 0.748891 0.540457 0.384446
0.376006 0.672342 0.408492 0.386215
0.381644 0.640210 0.307244 0.379140
0.354866 0.672342 0.294730 0.334038
0.337954 0.766847 0.418731 0.279209
0.370369 0.833946 0.552970 0.231454
0.433790 0.827330 0.636017 0.194312
0.487345 0.750781 0.650806 0.150979
0.515532 0.716759 0.649668 0.086421
0.525397 0.762122 0.571172 0.003293
0.525397 0.901989 0.499502 -0.022353
0.459158 1.035242 0.415318 0.008599
0.401375 1.145813 0.340235 0.022748
0.383053 1.219527 0.289042 0.003293
0.425334 1.221417 0.306106 -0.014394
0.501439 1.197791 0.395978 -0.056843
0.556403 1.145813 0.500640 -0.059496
0.635327 1.095725 0.557521 -0.021469
0.657877 1.060758 0.549558 0.005061
0.684654 1.057923 0.443759 0.034245
0.666333 1.063593 0.316345 0.023633
0.645192 1.132582 0.224198 0.002408
0.693110 1.194955 0.185518 0.004177
0.693110 1.295131 0.224198 0.009483
0.684654 1.400032 0.337960 -0.058612
0.673379 1.443504 0.418731 -0.062149
0.664923 1.421768 0.410768 -0.059496
0.733981 1.362230 0.318620 -0.046231
0.772034 1.293241 0.277666 -0.013510
0.808677 1.268670 0.332272 -0.007319
0.815724 1.239373 0.500640 -0.002898
0.839683 1.230867 0.661045 -0.002013
0.814314 1.234648 0.794146 -0.014394
0.826999 1.206296 0.882881 -0.022353
0.879145 1.191175 0.885156 -0.008204
0.872098 1.182670 0.856716 0.031592
0.843911 1.194010 0.794146 0.080231
0.810086 1.208186 0.733852 0.165128
0.831227 1.168494 0.691760 0.221726
0.879145 1.155263 0.688347 0.236760
0.935519 1.177000 0.695173 0.252678
0.970752 1.236538 0.778220 0.206692
1.025717 1.306472 0.853303 0.161591
1.058132 1.357504 0.973891 0.162475
1.056723 1.362230 1.100167 0.160706
1.011624 1.330098 1.152497 0.155400
0.917197 1.286626 1.126332 0.150094
0.784718 1.270560 1.054662 0.198733
0.704385 1.304581 0.971615 0.287168
0.701566 1.352779 0.942037 0.423357
0.650830 1.309307 0.906771 0.496758
0.690292 1.271505 0.896532 0.494105
0.684654 1.249768 0.901083 0.428663
0.662105 1.270560 0.866954 0.312814
0.686064 1.299856 0.848752 0.262406
0.738210 1.354669 0.838514 0.249141
0.843911 1.381131 0.852165 0.234107
0.936928 1.389636 0.869229 0.261522
0.986255 1.372625 0.821449 0.330501
0.946793 1.334823 0.805523 0.441044
0.921425 1.308362 0.831688 0.535669
0.870689 1.289461 0.903358 0.626757
0.808677 1.246933 0.987542 0.667437
0.800221 1.255439 1.048974 0.657709
0.742438 1.285680 1.054662 0.633832
0.671970 1.358449 1.015983 0.567506
0.614187 1.432163 0.963652 0.467575
0.533854 1.403812 0.944312 0.305739
0.515532 1.274340 0.985267 0.196965
0.556403 1.153373 1.043286 0.180162
0.591637 1.045637 0.990955 0.235876
0.597274 0.997440 0.945450 0.345535
0.643783 1.015396 0.919285 0.453425
0.663514 1.083439 0.944312 0.545397
0.670561 1.171329 0.979579 0.559547
0.624052 1.264889 1.045561 0.559547
0.476070 1.291351 1.077414 0.539207
0.282989 1.268670 1.087653 0.525942
0.109639 1.218582 1.067176 0.547166
-0.000290 1.167549 1.021671 0.566622
0.025078 1.142978 0.989817 0.582540
0.140645 1.145813 0.967065 0.629410
0.297083 1.146758 0.915872 0.651519
0.504257 1.157153 0.926111 0.640907
0.628280 1.165659 0.962514 0.588730
0.655058 1.150538 1.050111 0.530363
0.608549 1.110846 1.138846 0.474649
0.469023 1.056033 1.104717 0.426010
0.376006 1.001220 0.948863 0.425126
0.297083 0.960583 0.803247 0.461384
0.213931 0.910495 0.673558 0.525942
0.129370 0.864187 0.615540 0.552472
0.112458 0.817880 0.637154 0.585193
0.157557 0.792363 0.719063 0.598458
0.250574 0.790473 0.824862 0.563968
0.347819 0.800869 0.937487 0.514445
0.408421 0.800869 0.969340 0.384446
0.377416 0.772517 0.942037 0.223495
0.342182 0.733770 0.881743 0.069619
0.309767 0.707309 0.820312 -0.009972
0.219568 0.706364 0.790733 0.001524
0.228024 0.739441 0.794146 0.085537
0.263258 0.785748 0.795284 0.205808
0.336544 0.842451 0.807798 0.312814
0.452111 0.919000 0.818036 0.400364
0.519760 1.012561 0.799834 0.410977
0.500029 1.084384 0.752054 0.375603
0.492982 1.119351 0.686072 0.301318
0.467614 1.126912 0.620090 0.239413
0.480298 1.114626 0.571172 0.227032
0.535263 1.093835 0.510878 0.238529
0.586000 1.102340 0.455135 0.249141
0.663514 1.113681 0.399391 0.221726
0.759350 1.125022 0.368676 0.184584
0.791765 1.132582 0.366400 0.150979
0.832636 1.142033 0.378914 0.128870
0.832636 1.206296 0.378914 0.088190
0.710023 1.268670 0.344785 0.044857
0.702976 1.293241 0.298143 0.043088
0.760759 1.294186 0.266290 0.043973
0.894647 1.274340 0.265152 0.029823
1.089138 1.305527 0.304969 0.040435
1.189202 1.359394 0.360712 0.100571
1.266716 1.431218 0.428970 0.172203
1.351277 1.455790 0.521117 0.235876
1.407651 1.399087 0.633742 0.255332
1.383692 1.296076 0.720201 0.228801
1.232892 1.171329 0.762293 0.179278
1.003168 1.094780 0.771394 0.149210
0.756531 1.080604 0.756605 0.156285
0.625461 1.142033 0.731577 0.206692
0.598684 1.249768 0.741816 0.280978
0.735391 1.407592 0.755467 0.366759
0.901694 1.520998 0.769119 0.469343
1.036992 1.491702 0.778220 0.525057
1.163834 1.354669 0.789596 0.542744
1.146921 1.216692 0.866954 0.510908
1.059542 1.130692 0.942037 0.379140
0.974981 1.107066 0.971615 0.266828
0.958068 1.142033 0.972753 0.278325
0.986255 1.196846 0.948863 0.380024
1.021489 1.297966 0.986405 0.568390
1.020080 1.413262 1.051249 0.716076
1.027126 1.486976 1.137708 0.781518
1.011624 1.501152 1.167287 0.827504
0.972162 1.469020 1.099029 0.845191
0.859414 1.412317 0.975028 0.801858
0.779081 1.401922 0.824862 0.677165
0.750894 1.430273 0.732715 0.504717
0.748075 1.497372 0.715650 0.352610
0.794584 1.505878 0.789596 0.255332
0.811496 1.468075 0.919285 0.224379
0.836864 1.441614 1.109268 0.312814
0.859414 1.413262 1.245782 0.476418
0.834045 1.403812 1.210516 0.610839
0.793174 1.368845 1.045561 0.660362
0.704385 1.297021 0.879468 0.640907
0.626871 1.208186 0.775944 0.563084
0.590228 1.159989 0.747504 0.476418
0.563450 1.142033 0.789596 0.464922
0.540900 1.198736 0.855578 0.478187
0.483117 1.260164 0.977304 0.552472
0.404193 1.300801 1.116093 0.616145
0.339363 1.319702 1.204828 0.637369
0.332316 1.309307 1.221892 0.628526
0.385872 1.299856 1.183213 0.598458
0.442246 1.316867 1.114956 0.515329
0.452111 1.362230 1.102442 0.440160
0.466205 1.421768 1.136571 0.401249
0.440836 1.437834 1.217342 0.447235
0.461977 1.416098 1.227581 0.546282
0.433790 1.358449 1.182076 0.602880
0.353457 1.278120 1.150222 0.651519
0.292855 1.193065 1.116093 0.688661
0.211112 1.157153 1.104717 0.688661
0.209703 1.130692 1.062625 0.643560
0.299901 1.112736 0.976166 0.561315
0.474661 1.156208 0.869229 0.488799
0.649420 1.231813 0.811211 0.456078
0.793174 1.290406 0.789596 0.455194
0.805858 1.308362 0.857853 0.487030
0.714251 1.264889 0.931799 0.483493
0.628280 1.218582 0.980716 0.427779
0.567678 1.178890 1.003469 0.361453
0.580362 1.142033 0.990955 0.315467
0.590228 1.152428 0.979579 0.329617
